stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,stop_short_name
104200,Lansdowne Exchange Bay I,50.6767619962353,-120.326889999543,104200,0,800004,Lansdowne Exchange Bay I
104201,Westbound Lansdowne at 4th Ave,50.6767649957242,-120.332892,104201,0,,Westbound Lansdowne at 4th Ave
104202,Westbound Lansdowne at 2nd Ave,50.676729996174295,-120.337401000304,104202,0,,Westbound Lansdowne at 2nd Ave
104203,Westbound 330 block Victoria St W,50.6783029961141,-120.346869999629,104203,0,,Westbound 330 block Victoria
104204,Westbound Tranquille at Don,50.6848809961149,-120.35135000006001,104204,0,,Westbound Tranquille at Don
104205,Northbound Tranquille at Palm,50.6863569965453,-120.356058000377,104205,0,,Northbound Tranquille at Palm
104206,Northbound Tranquille at Clapperton,50.6877859963029,-120.357286000382,104206,0,,Northbound Tranquille at Clapperton
104207,Northbound Tranquille at Wood,50.6888389959585,-120.35782099974801,104207,0,,Northbound Tranquille at Wood
104208,Northbound Tranquille at Oak,50.6926959957278,-120.359362000079,104208,0,,Northbound Tranquille at Oak
104209,Northbound Tranquille at Vernon,50.6958129962433,-120.36043099971201,104209,0,,Northbound Tranquille at Vernon
104210,North Shore Exchange Bay C,50.697835996066495,-120.35944200068701,104210,0,800007,North Shore Exchange Bay C
104211,Westbound Fortune at 8th St,50.699605996206,-120.363697999297,104211,0,,Westbound Fortune at 8th St
104212,Westbound Tranquille at 11th St,50.7004749963816,-120.369251000155,104212,0,,Westbound Tranquille at 11th St
104213,Westbound Tranquille at 12th St,50.7010719959792,-120.37317600047001,104213,0,,Westbound Tranquille at 12th St
104214,Westbound Tranquille at Kelly,50.7015019959674,-120.37623100037601,104214,0,,Westbound Tranquille at Kelly
104215,Westbound Tranquille at Nicolani,50.70209199573559,-120.38003499954802,104215,0,,Westbound Tranquille at Nicolani
104216,Westbound Tranquille at Singh,50.7027919960524,-120.384818000147,104216,0,,Westbound Tranquille at Singh
104217,Westbound Tranquille at Holt,50.7019419961037,-120.389293000412,104217,0,,Westbound Tranquille at Holt
104218,Westbound Tranquille at Desmond,50.6999439960816,-120.39362499992001,104218,0,,Westbound Tranquille at Desmond
104219,Westbound Tranquille at Southill,50.69991699644469,-120.398823999984,104219,0,,Westbound Tranquille at Southill
104220,Westbound Tranquille at Caroline,50.7000619957821,-120.40148100023102,104220,0,,Westbound Tranquille at Caroline
104221,Westbound Tranquille at Windbreak,50.7003439965823,-120.404691000638,104221,0,,Westbound Tranquille at Windbreak
104222,Westbound Tranquille at Invermere,50.701094995953596,-120.40870099957301,104222,0,,Westbound Tranquille at Invermere
104223,Westbound Tranquille at Shelan,50.701621995913,-120.411702999506,104223,0,,Westbound Tranquille at Shelan
104224,Westbound Tranquille at Schreiner,50.701798996445795,-120.41637100062101,104224,0,,Westbound Tranquille at Schreiner
104225,Northbound Crestline at Glenview,50.702488995706396,-120.42290999946302,104225,0,,Northbound Crestline at Glenview
104226,Northbound Crestline at Young,50.7043979961108,-120.422269999988,104226,0,,Northbound Crestline at Young
104227,Northbound Crestline at Greenfield,50.705752995689096,-120.421201999467,104227,0,,Northbound Crestline at Greenfield
104234,Eastbound Fleetwood at Schreiner,50.7058989960579,-120.41647800005701,104234,0,,Eastbound Fleetwood at Schreiner
104235,Eastbound Greenfield at Schreiner,50.704798995777494,-120.41511700056401,104235,0,,Eastbound Greenfield at Schreiner
104236,Eastbound Greenfield at Westgate,50.704731995776896,-120.40923099998801,104236,0,,Eastbound Greenfield at Westgate
104237,Eastbound Greenfield at Windbreak,50.7046819964495,-120.40448399983102,104237,0,,Eastbound Greenfield at Windbreak
104238,Southbound Windbreak at Sunnycrest,50.70250399592,-120.40440100021802,104238,0,,Southbound Windbreak at Sunnycrest
104239,Eastbound Tranquille at Windbreak,50.7001009964479,-120.40388199943,104239,0,,Eastbound Tranquille at Windbreak
104240,Eastbound Tranquille at Caroline,50.6999359962541,-120.401479999542,104240,0,,Eastbound Tranquille at Caroline
104241,Eastbound Tranquille at Southill,50.699736996460096,-120.398461999922,104241,0,,Eastbound Tranquille at Southill
104242,Eastbound Tranquille at Desmond,50.699722996539194,-120.393877999375,104242,0,,Eastbound Tranquille at Desmond
104243,Eastbound Tranquille at Holt,50.7021549957602,-120.38819499967201,104243,0,,Eastbound Tranquille at Holt
