route_id,service_id,block_id,trip_id,trip_sequence,trip_type,trip_headsign,direction_id,pattern_id,shape_id,pattern_count,direction_code,pattern_code,pattern_rank,hierarchy
1-Kamloops,aaKA1706-KAJUN17-Weekday-20,346860,xaa2048366,1,0,Tranquille to Brocklehurst,1,240,8-1-19,171,1,240,48,3
1-Kamloops,aaKA1706-KAJUN17-Weekday-20,346860,xaa2048399,2,0,Tranquille to Downtown,0,100,8-1-37,9911,0,100,3,1
1-Kamloops,aaKA1706-KAJUN17-Weekday-20,346860,xaa2048368,3,0,Tranquille to Brocklehurst,1,200,8-1-35,9817,1,200,4,1
1-Kamloops,aaKA1706-KAJUN17-Weekday-20,346860,xaa2048401,4,0,Tranquille to Downtown,0,100,8-1-37,9911,0,100,3,1
4-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048549,1,0,Pacific Way to Aberdeen Hills,1,200,8-4-32,6314,1,200,9,1
4-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048572,2,0,Pacific Way to TRU,0,100,8-4-40,6314,0,100,8,1
4-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048551,3,0,Pacific Way to Aberdeen Hills,1,200,8-4-32,6314,1,200,9,1
4-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048573,4,0,Pacific Way to TRU,0,100,8-4-40,6314,0,100,8,1
4-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048552,5,0,Pacific Way to Aberdeen Hills,1,200,8-4-32,6314,1,200,9,1
4-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048575,6,0,Pacific Way to TRU,0,100,8-4-40,6314,0,100,8,1
4-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048553,7,0,Pacific Way to Aberdeen Hills,1,200,8-4-32,6314,1,200,9,1
4-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048578,8,0,Pacific Way to TRU,0,100,8-4-40,6314,0,100,8,1
4-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048554,9,0,Pacific Way to Aberdeen Hills,1,200,8-4-32,6314,1,200,9,1
4-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048579,10,0,Pacific Way to TRU,0,100,8-4-40,6314,0,100,8,1
4-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048556,11,0,Pacific Way to Aberdeen Hills,1,200,8-4-32,6314,1,200,9,1
4-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048580,12,0,Pacific Way to TRU,0,100,8-4-40,6314,0,100,8,1
4-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048557,13,0,Pacific Way to Aberdeen Hills,1,200,8-4-32,6314,1,200,9,1
4-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048577,14,0,Pacific Way to TRU,0,100,8-4-40,6314,0,100,8,1
4-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048558,15,0,Pacific Way to Aberdeen Hills,1,200,8-4-32,6314,1,200,9,1
4-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048581,16,0,Pacific Way to TRU,0,100,8-4-40,6314,0,100,8,1
4-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048559,17,0,Pacific Way to Aberdeen Hills,1,200,8-4-32,6314,1,200,9,1
4-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048582,18,0,Pacific Way to TRU,0,100,8-4-40,6314,0,100,8,1
4-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048560,19,0,Pacific Way to Aberdeen Hills,1,200,8-4-32,6314,1,200,9,1
4-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048583,20,0,Pacific Way to TRU,0,100,8-4-40,6314,0,100,8,1
6-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048585,21,0,City Loop Downtown,1,140,8-6-33,180,0,140,42,3
1-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048384,22,0,Tranquille to Brocklehurst,1,200,8-1-35,9817,1,200,4,1
1-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048417,23,0,Tranquille to Downtown,0,100,8-1-37,9911,0,100,3,1
16-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048819,24,0,Juniper Ridge,1,200,8-16-18,3105,1,200,21,1
16-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048812,25,0,Juniper Ridge to Downtown,0,100,8-16-17,3276,0,100,18,1
6-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048576,26,0,City Loop Downtown,1,100,8-6-32,3139,0,100,20,1
1-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048389,27,0,Tranquille to Brocklehurst,1,200,8-1-35,9817,1,200,4,1
1-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048419,28,0,Tranquille to Downtown,0,100,8-1-37,9911,0,100,3,1
1-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048391,29,0,Tranquille to Brocklehurst,1,200,8-1-35,9817,1,200,4,1
1-Kamloops,aaKA1706-KAJUN17-Weekday-20,346862,xaa2048424,30,0,Tranquille to Downtown,0,100,8-1-37,9911,0,100,3,1
